Nutrient,Age_Group,Male,Female,Pregnant,Lactating,Unit,Source,Source_Links,Footnotes,Nutrient_Notes
Threonine,1–3 years,180,180,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Threonine,4–8 years,300,300,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Threonine,51+ years,1050,855,940.5000000000001,1026.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Threonine,7–12 months,135,135,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Threonine,9–13 years,600,600,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Threonine,Birth to 6 months,90,90,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Total Protein,14–18 years,52,46,71,71,g,DRI for Protein,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,,
Total Protein,19–30 years,56,46,71,71,g,DRI for Protein,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,,
Total Protein,1–3 years,13,13,,,g,DRI for Protein,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,,
Total Protein,31–50 years,56,46,71,71,g,DRI for Protein,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,,
Total Protein,4–8 years,19,19,,,g,DRI for Protein,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,,
Total Protein,51+ years,56,46,,,g,DRI for Protein,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,,
Total Protein,7–12 months,11,11,,,g,DRI for Protein,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,,
Total Protein,9–13 years,34,34,,,g,DRI for Protein,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,,
Total Protein,Birth to 6 months,9.1,9.1,,,g,DRI for Protein,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Tryptophan,14–18 years,252,216,237.60000000000002,259.2,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Tryptophan,19–50 years,280,228,250.8,273.59999999999997,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Tryptophan,1–3 years,48,48,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Tryptophan,4–8 years,80,80,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Tryptophan,51+ years,280,228,250.8,273.59999999999997,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Tryptophan,7–12 months,36,36,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Tryptophan,9–13 years,160,160,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Tryptophan,Birth to 6 months,24,24,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Tyrosine,19+ years,CS,CS,CS,CS,mg,Conditionally essential,,,Can be synthesized by the body. requirements increase during stress/illness
Valine,14–18 years,1638,1404,1544.4,1684.8,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Valine,19–50 years,1820,1482,1630.2,1778.3999999999999,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Valine,1–3 years,312,312,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Valine,4–8 years,520,520,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Valine,51+ years,1820,1482,1630.2,1778.3999999999999,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Valine,7–12 months,234,234,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Valine,9–13 years,1040,1040,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Valine,Birth to 6 months,156,156,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Vanadium,19+ years,10,10,10,10,mcg,Research estimate,,Upper safe limit,
Vitamin A,14–18 years,900,700,750,1200,mcg RAE,ODS Vitamin A Factsheet,https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/,,
Vitamin A,19–50 years,900,700,770,1300,mcg RAE,ODS Vitamin A Factsheet,https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/,,
Vitamin A,1–3 years,300,300,,,mcg RAE,ODS Vitamin A Factsheet,https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/,,
Vitamin A,4–8 years,400,400,,,mcg RAE,ODS Vitamin A Factsheet,https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/,,
Vitamin A,51+ years,900,700,,,mcg RAE,ODS Vitamin A Factsheet,https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/,,
Vitamin A,7–12 months,500,500,,,mcg RAE,ODS Vitamin A Factsheet,https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/,*AI,
Vitamin A,9–13 years,600,600,,,mcg RAE,ODS Vitamin A Factsheet,https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/,,
Vitamin A,Birth to 6 months,400,400,,,mcg RAE,ODS Vitamin A Factsheet,https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/,*AI,
Vitamin B12,14–18 years,2.4,2.4,2.6,2.8,mcg,ODS Vitamin B12 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,,Adults over 50 should obtain most vitamin B12 from fortified foods or supplements due to reduced absorption of food-bound vitamin B12
Vitamin B12,19+ years,2.4,2.4,2.6,2.8,mcg,ODS Vitamin B12 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,,Adults over 50 should obtain most vitamin B12 from fortified foods or supplements due to reduced absorption of food-bound vitamin B12
Vitamin B12,1–3 years,0.9,0.9,,,mcg,ODS Vitamin B12 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,,Adults over 50 should obtain most vitamin B12 from fortified foods or supplements due to reduced absorption of food-bound vitamin B12
Vitamin B12,4–8 years,1.2,1.2,,,mcg,ODS Vitamin B12 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,,Adults over 50 should obtain most vitamin B12 from fortified foods or supplements due to reduced absorption of food-bound vitamin B12
Vitamin B12,7–12 months,0.5,0.5,,,mcg,ODS Vitamin B12 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,*AI,Adults over 50 should obtain most vitamin B12 from fortified foods or supplements due to reduced absorption of food-bound vitamin B12
Vitamin B12,9–13 years,1.8,1.8,,,mcg,ODS Vitamin B12 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,,Adults over 50 should obtain most vitamin B12 from fortified foods or supplements due to reduced absorption of food-bound vitamin B12
Vitamin B12,Birth to 6 months,0.4,0.4,,,mcg,ODS Vitamin B12 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,*AI,Adults over 50 should obtain most vitamin B12 from fortified foods or supplements due to reduced absorption of food-bound vitamin B12
Vitamin B6,14–18 years,1.3,1.2,1.9,2.0,mg,ODS Vitamin B6 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/,,
Vitamin B6,19–50 years,1.3,1.3,1.9,2.0,mg,ODS Vitamin B6 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/,,
Vitamin B6,1–3 years,0.5,0.5,,,mg,ODS Vitamin B6 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/,,
Vitamin B6,4–8 years,0.6,0.6,,,mg,ODS Vitamin B6 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/,,
Vitamin B6,51+ years,1.7,1.5,,,mg,ODS Vitamin B6 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/,,
Vitamin B6,7–12 months,0.3,0.3,,,mg,ODS Vitamin B6 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/,*AI,
Vitamin B6,9–13 years,1.0,1.0,,,mg,ODS Vitamin B6 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/,,
Vitamin B6,Birth to 6 months,0.1,0.1,,,mg,ODS Vitamin B6 Factsheet,https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/,*AI,
Vitamin C,0–6 months,40,40,,,mg,ODS Vitamin C Factsheet,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,*AI,Smokers require 35 mg/day more vitamin C than nonsmokers
Vitamin C,14–18 years,75,65,80,115,mg,ODS Vitamin C Factsheet,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,,Smokers require 35 mg/day more vitamin C than nonsmokers
Vitamin C,19+ years,90,75,85,120,mg,ODS Vitamin C Factsheet,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,,Smokers require 35 mg/day more vitamin C than nonsmokers
Vitamin C,1–3 years,15,15,,,mg,ODS Vitamin C Factsheet,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,,Smokers require 35 mg/day more vitamin C than nonsmokers
Vitamin C,4–8 years,25,25,,,mg,ODS Vitamin C Factsheet,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,,Smokers require 35 mg/day more vitamin C than nonsmokers
Vitamin C,7–12 months,50,50,,,mg,ODS Vitamin C Factsheet,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,*AI,Smokers require 35 mg/day more vitamin C than nonsmokers
Vitamin C,9–13 years,45,45,,,mg,ODS Vitamin C Factsheet,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,,Smokers require 35 mg/day more vitamin C than nonsmokers
Vitamin D,0–12 months,10,10,,,mcg (400 IU),ODS Vitamin D Factsheet,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,*AI,
Vitamin D,14–18 years,15,15,15,15,mcg (600 IU),ODS Vitamin D Factsheet,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,,
Vitamin D,19–50 years,15,15,15,15,mcg (600 IU),ODS Vitamin D Factsheet,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,,
Vitamin D,1–13 years,15,15,,,mcg (600 IU),ODS Vitamin D Factsheet,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,,
Vitamin D,51–70 years,15,15,,,mcg (600 IU),ODS Vitamin D Factsheet,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,,
Vitamin D,70+ years,20,20,,,mcg (800 IU),ODS Vitamin D Factsheet,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,,
Vitamin E,0–6 months,4,4,,,mg,ODS Vitamin E Factsheet,https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/,*AI,
Vitamin E,14+ years,15,15,15,19,mg,ODS Vitamin E Factsheet,https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/,,
Vitamin E,1–3 years,6,6,,,mg,ODS Vitamin E Factsheet,https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/,,
Vitamin E,4–8 years,7,7,,,mg,ODS Vitamin E Factsheet,https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/,,
Vitamin E,7–12 months,5,5,,,mg,ODS Vitamin E Factsheet,https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/,*AI,
Vitamin E,9–13 years,11,11,,,mg,ODS Vitamin E Factsheet,https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/,,
Vitamin K,14–18 years,75,75,75,75,mcg,ODS Vitamin K Factsheet,https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/,*AI,
Vitamin K,19+ years,120,90,90,90,mcg,ODS Vitamin K Factsheet,https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/,*AI,
Vitamin K,1–3 years,30,30,,,mcg,ODS Vitamin K Factsheet,https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/,*AI,
Vitamin K,4–8 years,55,55,,,mcg,ODS Vitamin K Factsheet,https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/,*AI,
Vitamin K,7–12 months,2.5,2.5,,,mcg,ODS Vitamin K Factsheet,https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/,*AI,
Vitamin K,9–13 years,60,60,,,mcg,ODS Vitamin K Factsheet,https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/,*AI,
Vitamin K,Birth to 6 months,2.0,2.0,,,mcg,ODS Vitamin K Factsheet,https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/,*AI,
Water,14–18 years,3.3,2.3,3.0,3.8,L,DRI for Water,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI total fluids,
Water,19–50 years,3.7,2.7,3.0,3.8,L,DRI for Water,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI total fluids,
Water,1–3 years,1.3,1.3,,,L,DRI for Water,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI total fluids,
Water,4–8 years,1.7,1.7,,,L,DRI for Water,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI total fluids,
Water,51+ years,3.7,2.7,,,L,DRI for Water,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI total fluids,
Water,7–12 months,0.8,0.8,,,L,DRI for Water,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI total fluids,
Water,9–13 years,2.4,2.1,,,L,DRI for Water,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI total fluids,
Water,Birth to 6 months,0.7,0.7,,,L,DRI for Water,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI from breast milk,
Zeaxanthin,14–18 years,1.7,1.7,1.9,2.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Zeaxanthin,19+ years,2,2,2,2,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Eye health studies,
Zeaxanthin,19–30 years,2.0,2.0,2.2,2.4,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Zeaxanthin,1–3 years,0.7,0.7,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Zeaxanthin,31–50 years,2.0,2.0,2.2,2.4,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Zeaxanthin,4–8 years,1.0,1.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Zeaxanthin,51–70 years,1.8,1.8,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Zeaxanthin,70+ years,1.7,1.7,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Zeaxanthin,7–12 months,0.5,0.5,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Zeaxanthin,9–13 years,1.4,1.4,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Zeaxanthin,Birth to 6 months,0.3,0.3,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Zinc,14–18 years,11,9,12,13,mg,ODS Zinc Factsheet,https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/,,
Zinc,19+ years,11,8,11,12,mg,ODS Zinc Factsheet,https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/,,
Zinc,1–3 years,3,3,,,mg,ODS Zinc Factsheet,https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/,,
Zinc,4–8 years,5,5,,,mg,ODS Zinc Factsheet,https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/,,
Zinc,7–12 months,3,3,,,mg,ODS Zinc Factsheet,https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/,,
Zinc,9–13 years,8,8,,,mg,ODS Zinc Factsheet,https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/,,
Zinc,Birth to 6 months,2,2,,,mg,ODS Zinc Factsheet,https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/,*AI,
